text,label
期待を大きく下回る仕上がりでした,0
仕事にやりがいを感じられない,0
レイアウトが見にくくて困りました,0
壊れやすくて困っています,0
シンプルで使いやすいです,1
工夫が感じられず残念でした,0
目標を立てて頑張れている,1
全体的に満足できませんでした,0
使い心地が悪かったです,0
試験に落ちてショックだった,0
最高の体験でした,1
授業がわかりやすくて楽しかった,1
わかりやすいレイアウトで助かりました,1
友達と話せて楽しい時間だった,1
簡単でわかりやすい,1
旅行に行けてとても楽しかった,1
テストで良い点が取れて嬉しい,1
サイズもぴったりで満足です,1
手触りが良くて気に入っています,1
重くて持ち運びにくいです,0
とても快適に過ごせました,1
全体的にクオリティが高いです,1
学びが多くて充実した時間でした,1
接客の態度が悪く感じました,0
品質が高くて驚きました,1
期待を超える完成度でした,1
がっかりする内容でした,0
新しい環境になかなか慣れない,0
美味しい料理が食べられて満足した,1
新しい趣味が見つからず悩んでいる,0
あまり気に入らず使っていません,0
初心者でも安心して使えました,1
耐久性があって安心して使えます,1
全く役に立ちませんでした,0
対応の悪さに驚きました,0
誰にも応援されず孤独を感じた,0
コストに見合わない品質でした,0
思っていたものと違いました,0
音質がとても良くて驚きました,1
色合いがとても綺麗でした,1
内容が薄く不満でした,0
授業の内容が全くわからなかった,0
スムーズに進められて助かりました,1
サポートの対応が悪かったです,0
今日は天気が悪く気分が沈む,0
期待していたのにとても残念でした,0
受験に失敗してしまった,0
資格試験に合格できて嬉しい,1
休日はゆっくり休めて良かった,1
応援してもらえて励みになった,1
落ち着いたデザインで使いやすいです,1
充実した内容で満足しています,1
対応が雑で残念でした,0
仕事の効率が上がって助かる,1
うまくいかないことが続いて辛い,0
丁寧な対応で気持ちが良かったです,1
不満が多く残る内容でした,0
細やかなサポートに感謝しています,1
部活の試合で勝てて最高だった,1
会議が長引いて疲れた,0
テストが100点だった,1
とても悲しいです,0
すごく悲しい気持ちになりました,0
悲しくて涙が出ました,0
とても辛い経験でした,0
辛くて眠れませんでした,0
とても腹が立ちました,0
怒りを感じました,0
不安でいっぱいです,0
とても怖かったです,0
恐ろしい思いをしました,0
寂しい気持ちになりました,0
とても寂しいです,0
悔しい思いをしました,0
切ない気持ちになりました,0
苦しい時間でした,0
やりきれない気持ちです,0
むなしい結果でした,0
情けない気持ちになりました,0
とても恥ずかしい思いをしました,0
焦りを感じました,0
とても悲しい,0
すごく悲しい,0
とても悲しい出来事でした,0
今日はとても悲しい一日でした,0
とても悲しくて何もできませんでした,0
とても辛いです,0
すごく辛い,0
とても辛い気持ちです,0
とても苦しいです,0
すごく苦しい思いをしました,0
とても怖いです,0
すごく怖かったです,0
とても不安です,0
すごく不安な気持ちです,0
とても寂しい思いをしました,0
すごく寂しいです,0
とても悔しいです,0
すごく悔しい思いをしました,0
とても情けない気持ちです,0
とても恥ずかしいです,0
とても切ないです,0
とても嬉しいです,1
すごく嬉しい気持ちになりました,1
嬉しくて涙が出ました,1
とても楽しい経験でした,1
楽しくて眠れませんでした,1
とても感激しました,1
喜びを感じました,1
安心でいっぱいです,1
とても誇らしいです,1
晴れやかな思いをしました,1
幸せな気持ちになりました,1
とても幸せです,1
喜ばしい思いをしました,1
心地よい気持ちになりました,1
楽な時間でした,1
満ち足りた気持ちです,1
充実した結果でした,1
誇らしい気持ちになりました,1
とても頼もしい思いをしました,1
活力を感じました,1
とても嬉しい,1
すごく嬉しい,1
とても嬉しい出来事でした,1
今日はとても嬉しい一日でした,1
とても楽しいです,1
すごく楽しい,1
とても幸せな気持ちです,1
すごく幸せです,1
とても安心しました,1
すごく安心です,1
とても誇らしい気持ちです,1
すごく誇らしいです,1
今日はとても良い一日でした,1
とても満足な結果でした,1
すごく満足しています,1
とても感動しました,1
すごく感動的でした,1
